itemid,appno,docname,country_name,country_code,articles,year,judgement_date,applicant_type,has_violation,violation_count,no_violation_count,violated_articles,no_violation_articles,has_mixed_decision,judge_president,judge_count,judge_names_list
001-113648,7259/03,CASE OF MITKUS v. LATVIA,Latvia,lv,"35, 8, 41, 6, 3",2012,02/10/2012 00:00:00,Individual,True,3,1,"3, 6, 8",6,True,Josep Casadevall,8,Josep Casadevall|Egbert Myjer|Corneliu Bîrsan|Alvina Gyulumyan|Ineta Ziemele|Luis López Guerra|Nona Tsotsoria| Quesada
001-101177,24478/03,CASE OF GROSSKOPF v. GERMANY,Germany,de,5,2010,21/10/2010 00:00:00,Individual,False,0,1,,5-1,True,Peer Lorenzen,8,Peer Lorenzen|Renate Jaeger|Rait Maruste|Isabelle Berro-Lefèvre|Mirjana Lazarova Trajkovska|Zdravka Kalaydjieva|Ganna Yudkivska|Claudia Westerdiek
001-69638,41307/02,CASE OF SHPAKOVSKIY v. RUSSIA,Russian Federation,ru,"6, p1-1, 29, 41",2005,07/07/2005 00:00:00,Individual,True,1,0,6-1,,True,MrC.L. Rozakis,8,MrC.L. Rozakis|MrsS. Botoucharova|MrA. Kovler|MrsE. Steiner|MrK. Hajiyev|MrD. Spielmann|MrS.E. Jebens|Mr S. Quesada
001-179420,53240/14,CASE OF JOANNOU v. TURKEY,Turkey,tr,"35, 41, p1-1",2017,12/12/2017 00:00:00,Individual,True,1,0,p1-1,,True,Robert Spano,8,Robert Spano|Julia Laffranque|Ledi Bianku|Işıl Karakaş|Paul Lemmens|Valeriu Griţco|Jon Fridrik Kjølbro|Stanley Naismith
001-153350,29736/06,CASE OF DAVTYAN v. ARMENIA,Armenia,am,3,2015,31/03/2015 00:00:00,Individual,True,1,0,3,,False,Josep Casadevall,8,Josep Casadevall|Luis López Guerra|Dragoljub Popović|Kristina Pardalos|Johannes Silvis|Valeriu Griţco|Iulia Antoanella Motoc|Stephen Phillips
001-84572,11101/04,CASE OF RYGALSKI v. POLAND,Poland,pl,6,2008,22/01/2008 00:00:00,Individual,True,1,0,6-1,,False,Nicolas Bratza,8,Nicolas Bratza|Josep Casadevall|Giovanni Bonello|Stanislav Pavlovschi|Lech Garlicki|Ján Šikuta|Päivi Hirvelä|Lawrence Early
001-77543,18114/02,CASE OF HERMI v. ITALY,Italy,it,6,2006,18/10/2006 00:00:00,Individual,False,0,1,,6,False,Luzius Wildhaber,18,Luzius Wildhaber|Christos Rozakis|Jean-Paul Costa|Boštjan M. Zupančič|Rıza Türmen|Corneliu Bîrsan|John Hedigan|András Baka|Vladimiro Zagrebelsky|Javier Borrego Borrego|Alvina Gyulumyan|Dean Spielmann|Egbert Myjer|Davíd Thór Björgvinsson|Danutė Jočienė|Dragoljub Popović|Ineta Ziemele|Lawrence Early
001-111586,43071/06,CASE OF DECHEVA AND OTHERS v. BULGARIA,Bulgaria,bg,"6, p1-1",2012,26/06/2012 00:00:00,Multiple Applicants,True,2,0,"6, p1-1",,False,Lech Garlicki,8,Lech Garlicki|David Thór Björgvinsson|Päivi Hirvelä|Ledi Bianku|Nebojša Vučinić|Vincent A. De Gaetano|Pavlina Panova|Fatoş Aracı
001-100881,47460/07;49257/07;49265/07;1028/08;11746/08;14387/08;15094/08;16159/08;18876/08;18882/08;18997/08;22997/08;23007/08;23100/08;23102/08;26892/08;26908/08;29305/08;29306/08;29323/08;29389/08;30792/08;30795/08;31202/08;31968/08;32120/08;32537/08;32661/08;32666/08;36079/08,CASE OF RAKIC AND OTHERS v. SERBIA,Serbia,rs,"35, 6, 41",2010,05/10/2010 00:00:00,Multiple Applicants,True,1,0,6-1,,True,Françoise Tulkens,8,Françoise Tulkens|Danutė Jočienė|Dragoljub Popović|András Sajó|Nona Tsotsoria|Kristina Pardalos|Guido Raimondi|Stanley Naismith
001-177433,48691/13;52355/13;39924/14;40131/14;45207/14;45292/14,CASE OF BELONOZHKO AND OTHERS v. RUSSIA,Russian Federation,ru,"6, p1-1",2017,12/10/2017 00:00:00,Multiple Applicants,True,2,0,"p1-1-1, 6",,False,Luis López Guerra,4,Luis López Guerra|Dmitry Dedov|Jolien Schukking|Liv Tigerstedt Acting Deputy Section Registrar
