itemid,appno,docname,country_name,country_code,articles,year,judgement_date,applicant_type,has_violation,violation_count,no_violation_count,violated_articles,no_violation_articles,has_mixed_decision,judge_president,judge_count,judge_names_list
001-175680,45498/11,CASE OF SKLYAR v. RUSSIA,Russian Federation,ru,"3, 6",2017,18/07/2017 00:00:00,Individual,True,1,1,3,6-3-c,False,Helena Jäderblom,8,Helena Jäderblom|Branko Lubarda|Helen Keller|Dmitry Dedov|Pere Pastor Vilanova|Georgios A. Serghides|Jolien Schukking|Stephen Phillips
001-168352,18860/07,CASE OF YABLOKO RUSSIAN UNITED DEMOCRATIC PARTY AND OTHERS v. RUSSIA,Russian Federation,ru,p1-3,2016,08/11/2016 00:00:00,Political Party,True,1,1,p1-3,p1-3,False,Luis López Guerra,8,Luis López Guerra|Helena Jäderblom|Helen Keller|Dmitry Dedov|Branko Lubarda|Pere Pastor Vilanova|Georgios A. Serghides|Stephen Phillips
001-79133,75567/01,CASE OF OBERWALDER v. SLOVENIA,Slovenia,si,6,2007,18/01/2007 00:00:00,Individual,True,1,0,6-1,,False,MrJ. Hedigan,8,MrJ. Hedigan|MrB.M. Zupančič|MrC. Bîrsan|MrV. Zagrebelsky|MrsA. Gyulumyan|MrDavid Thór Björgvinsson|MrsI. Ziemele|Mr V. Berger
001-113718,50031/11,CASE OF RAKHMONOV v. RUSSIA,Russian Federation,ru,5,2012,16/10/2012 00:00:00,Individual,True,1,0,5,,False,Nina Vajić,8,Nina Vajić|Anatoly Kovler|Khanlar Hajiyev|Mirjana Lazarova Trajkovska|Julia Laffranque|Linos-Alexandre Sicilianos|Erik Møse|Søren Nielsen
001-90583,42894/04;42904/04;42905/04;42906/04;42907/04;42908/04;42909/04;42910/04,CASE OF ARAT AND OTHERSv. TURKEY,Turkey,tr,"6, p1-1",2009,13/01/2009 00:00:00,Multiple Applicants,True,2,0,"6, p1-1",,False,Françoise Tulkens,8,Françoise Tulkens|Ireneu Cabral Barreto|Vladimiro Zagrebelsky|Danutė Jočienė|András Sajó|Nona Tsotsoria|Işıl Karakaş|Sally Dollé
001-170351,27153/07,CASE OF CACUCI AND S.C. VIRRA & CONT PAD S.R.L. v. ROMANIA,Romania,ro,"13, 8",2017,17/01/2017 00:00:00,Individual,True,1,3,8,"8, 8-1, 13",False,András Sajó,8,András Sajó|Vincent A. De Gaetano|Nona Tsotsoria|Paulo Pinto de Albuquerque|Krzysztof Wojtyczek|Iulia Motoc|Marko Bošnjak|Marialena Tsirli
001-91744,37208/04,CASE OF LEBEDINTSEVA v. UKRAINE,Ukraine,ua,6,2009,12/03/2009 00:00:00,Individual,True,1,0,6,,False,Peer Lorenzen,8,Peer Lorenzen|Rait Maruste|Karel Jungwiert|Mark Villiger|Mirjana Lazarova Trajkovska|Zdravka Kalaydjieva|Stanislav Shevchuk|Claudia Westerdiek
001-187925,43639/12,CASE OF KHANH v. CYPRUS,Cyprus,cy,3,2018,04/12/2018 00:00:00,Individual,True,1,0,3,,False,Branko Lubarda,4,Branko Lubarda|Pere Pastor Vilanova|Georgios A. Serghides|Fatoş Aracı
001-186433,7972/09,CASE OF FEDCHENKO v. RUSSIA (No. 3),Russian Federation,ru,10,2018,02/10/2018 00:00:00,Individual,True,1,0,10,,False,Vincent A. De Gaetano,8,Vincent A. De Gaetano|Branko Lubarda|Helen Keller|Dmitry Dedov|Pere Pastor Vilanova|Georgios A. Serghides|Jolien Schukking|Stephen Phillips
001-83278,29361/02,CASE OF KUKAYEV v. RUSSIA,Russian Federation,ru,"2, 35, 13, 34, 38, 41, 3",2007,15/11/2007 00:00:00,Individual,True,7,0,"2, 3, 2, 13, 3, 13, 38",,True,MrP. Lorenzen,8,MrP. Lorenzen|MrsS. Botoucharova|MrK. Jungwiert|MrV. Butkevych|MrsM. Tsatsa-Nikolovska|MrR. Maruste|MrA. Kovler|Mrs C. Westerdiek
001-117683,14087/08,CASE OF NOVAYA GAZETA AND BORODYANSKIY v. RUSSIA,Russian Federation,ru,"35, 10",2013,28/03/2013 00:00:00,Individual,False,0,1,,10,True,Isabelle Berro-Lefèvre,8,Isabelle Berro-Lefèvre|Mirjana Lazarova Trajkovska|Julia Laffranque|Linos-Alexandre Sicilianos|Erik Møse|Ksenija Turković|Dmitry Dedov|Søren Nielsen
001-96109,7867/06,CASE OF GONCHAROV v. UKRAINE,Ukraine,ua,6,2009,10/12/2009 00:00:00,Individual,True,1,0,6,,False,Peer Lorenzen,8,Peer Lorenzen|Renate Jaeger|Karel Jungwiert|Rait Maruste|Isabelle Berro-Lefèvre|Zdravka Kalaydjieva|Mykhaylo Buromenskiy|Claudia Westerdiek
001-180442,48151/11;77769/13,CASE OF NATIONAL FEDERATION OF SPORTSPERSONS' ASSOCIATIONS AND UNIONS (FNASS) AND OTHERS v. FRANCE,France,fr,"35, 8, p4-2",2018,18/01/2018 00:00:00,Organization,False,0,1,,8,True,Angelika Nußberger,8,Angelika Nußberger|Erik Møse|André Potocki|Yonko Grozev|Síofra O’Leary|Gabriele Kucsko-Stadlmayer|Lәtif Hüseynov|Milan Blaško
001-83979,1206/03,CASE OF UYSAL AND OSAL v. TURKEY,Turkey,tr,6,2007,13/12/2007 00:00:00,Individual,True,1,0,6-1,,False,MrB.M. Zupančič,8,MrB.M. Zupančič|MrC. Bîrsan|MrR. Türmen|MrsA. Gyulumyan|MrDavid Thór Björgvinsson|MrsI. Ziemele|MrsI. Berro-Lefèvre|Mr S. Naismith
001-71607,43593/02,CASE OF KOTLYAROV v. UKRAINE,Ukraine,ua,"13, 29, 41, 6, 4",2005,13/12/2005 00:00:00,Individual,True,1,0,6-1,,True,MrA.B. Baka,8,MrA.B. Baka|MrI. Cabral Barreto|MrK. Jungwiert|MrV. Butkevych|MrM. Ugrekhelidze|MrsA. Mularoni|MrsE. Fura-Sandström|Mrs S. Dollé
001-67248,61333/00,CASE OF TREGUBENKO v. UKRAINE,Ukraine,ua,"6, 41, p1-1",2004,02/11/2004 00:00:00,Individual,True,2,0,"6-1, 6-1",,True,MrJ.-P. Costa,7,MrJ.-P. Costa|MrL. Loucaides|MrK. Jungwiert|MrV. Butkevych|MrsW. Thomassen|MrM. Ugrekhelidze|Mrs S. Dollé
001-58537,26629/95,CASE OF WITOLD LITWA v. POLAND,Poland,pl,"5, 41",2000,04/04/2000 00:00:00,Individual,True,1,0,5-1,,True,MrM. Fischbach,8,MrM. Fischbach|MrB. Conforti|MrG. Bonello|MrsV. Strážnická|MrsM. Tsatsa-Nikolovska|MrA.B. Baka|MrE. Levits|Mr E. Fribergh
001-58817,37698/97,CASE OF LOPES GOMES DA SILVA v. PORTUGAL,Portugal,pt,"41, 10",2000,28/09/2000 00:00:00,Individual,True,1,0,10,,True,MrG. Ress,8,MrG. Ress|MrA. Pastor Ridruejo|MrL. Caflisch|MrJ. Makarczyk|MrI. Cabral Barreto|MrsN. Vajić|MrM. Pellonpää|Mr V. Berger
001-59097,34720/97,CASE OF HEANEY AND McGUINNESS v. IRELAND,Ireland,ie,"6, 34, 5, 10, 41, 8",2000,21/12/2000 00:00:00,Individual,True,2,0,"6-1, 6-2",,True,MrG. Ress,8,MrG. Ress|MrA. Pastor Ridruejo|Mr L. Caflisch|MrI. Cabral Barreto|MrV. Butkevych|MrsN. Vajić|MrM. Pellonpää|Mr V. Berger
001-77313,36288/97,CASE OF FRYCKMAN  v. FINLAND,Finland,fi,"6, 41",2006,10/10/2006 00:00:00,Individual,True,1,0,6-1,,True,SirNicolas Bratza,8,SirNicolas Bratza|MrJ. Casadevall|MrG. Bonello|MrM. Pellonpää|MrK. Traja|MrL. Garlicki|MsL. Mijović|Mr T.L. Early
001-93997,1915/03,CASE OF ARZU v. TURKEY,Turkey,tr,"6, 5",2009,15/09/2009 00:00:00,Individual,True,2,0,"5, 6",,False,Françoise Tulkens,8,Françoise Tulkens|Ireneu Cabral Barreto|Vladimiro Zagrebelsky|Danutė Jočienė|Dragoljub Popović|Nona Tsotsoria|Işıl Karakaş|Sally Dollé
001-118574,17253/07,CASE OF DIMITAR SHOPOV v. BULGARIA,Bulgaria,bg,3,2013,16/04/2013 00:00:00,Individual,True,1,0,3,,False,Ineta Ziemele,8,Ineta Ziemele|David Thór Björgvinsson|George Nicolaou|Ledi Bianku|Zdravka Kalaydjieva|Vincent A. De Gaetano|Paul Mahoney|Lawrence Early
001-166055,31454/12,CASE OF MONTANARO GAUCI AND OTHERS v. MALTA,Malta,mt,p1-1,2016,30/08/2016 00:00:00,Multiple Applicants,True,1,0,p1-1,,False,András Sajó,7,András Sajó|Vincent A. De Gaetano|Nona Tsotsoria|Krzysztof Wojtyczek|Iulia Motoc|Gabriele Kucsko-Stadlmayer|Marialena Tsirli
001-58229,28523/95,CASE OF PORTINGTON v. GREECE,Greece,gr,"6, 41",1998,23/09/1998 00:00:00,Individual,True,1,0,6-1,,True,MrThór Vilhjálmsson,9,MrThór Vilhjálmsson|MrC. Russo|MrN. Valticos|MrJ.M. Morenilla|MrD. Gotchev|MrB. Repik|MrU. Lōhmus|MrP. van Dijk|also of Mr H. Petzold
001-173262,36888/13,CASE OF MENSHIKOV v. RUSSIA,Russian Federation,ru,"6, p1-1, 13",2017,02/05/2017 00:00:00,Individual,True,6,0,"6, p1-1, 6-1, 13, p1-1-1, 13",,False,Helen Keller,4,Helen Keller|Pere Pastor Vilanova|Alena Poláčková|Fatoş Aracı
001-144142,2746/05,CASE OF KOPNIN AND OTHERS v. RUSSIA,Russian Federation,ru,"6, 13, p1-1",2014,28/05/2014 00:00:00,Multiple Applicants,True,3,0,"6, p1-1, 13",,False,Isabelle Berro-Lefèvre,8,Isabelle Berro-Lefèvre|Elisabeth Steiner|Khanlar Hajiyev|Mirjana Lazarova Trajkovska|Julia Laffranque|Paulo Pinto de Albuquerque|Dmitry Dedov|Søren Nielsen
001-114264,21308/06,CASE OF ŽELE v. SLOVENIA,Slovenia,si,"6, 13",2012,08/11/2012 00:00:00,Individual,True,2,0,"6, 13",,False,Ann Power-Forde,4,Ann Power-Forde|Boštjan M. Zupančič|Angelika Nußberger|Stephen Phillips
001-91096,28095/02,CASE OF TWOMEY v. THE UNITED KINGDOM,United Kingdom,gb,"14, p1-1",2009,03/02/2009 00:00:00,Individual,True,2,0,"p1-1, 14",,False,Lech Garlicki,8,Lech Garlicki|Nicolas Bratza|Giovanni Bonello|Ljiljana Mijović|David Thór Björgvinsson|Ledi Bianku|Mihai Poalelungi|Lawrence Early
001-102774,23929/08,CASE OF SIAKAPETI AND OTHERS v. GREECE,Greece,gr,6,2011,13/01/2011 00:00:00,Multiple Applicants,True,1,0,6-1,,False,Anatoly Kovler,4,Anatoly Kovler|Sverre Erik Jebens|George Nicolaou|André Wampach
001-72800,37431/02,CASE OF JOSAN v. MOLDOVA,"Moldova, Republic of",md,"35, 6, 41, p1-1, 29",2006,21/03/2006 00:00:00,Individual,True,1,0,6-1,,True,SirNicolas Bratza,7,SirNicolas Bratza|MrG. Bonello|MrK. Traja|MrS. Pavlovschi|MrL. Garlicki|MrsL. Mijović|MrJ. Šikuta
001-195977,51165/08,CASE OF MILINOV v. RUSSIA,Russian Federation,ru,10,2019,24/09/2019 00:00:00,Individual,True,1,0,10,,False,Paulo Pinto de Albuquerque,4,Paulo Pinto de Albuquerque|Helen Keller|María Elósegui|Stephen Phillips
001-192460,18895/08,CASE OF BONDAR v. UKRAINE,Ukraine,ua,6,2019,16/04/2019 00:00:00,Individual,True,1,0,6-3-d,,False,Jon Fridrik Kjølbro,8,Jon Fridrik Kjølbro|Paulo Pinto de Albuquerque|Iulia Antoanella Motoc|Carlo Ranzoni|Georges Ravarani|Marko Bošnjak|Sergiy Goncharenko|Marialena Tsirli
001-72289,34539/02,CASE OF DEBONO v. MALTA,Malta,mt,"6, 41",2006,07/02/2006 00:00:00,Individual,True,1,0,6-1,,True,SirNicolas Bratza,8,SirNicolas Bratza|MrJ. Casadevall|MrG. Bonello|MrR. Maruste|MrS. Pavlovschi|MrL. Garlicki|MrJ. Borrego Borrego|Mr M. O’Boyle
001-57460,11152/84,CASE OF CIULLA v. ITALY,Italy,it,"35, 41, 5",1989,22/02/1989 00:00:00,Individual,True,2,0,"5-1, 5-5",,True,Mr R. Ryssdal,1,Mr R. Ryssdal
001-98175,33105/05,CASE OF MUDAYEVY v. RUSSIA,Russian Federation,ru,"5, 2, 3, 13",2010,08/04/2010 00:00:00,Individual,True,5,0,"2, 3, 2, 13, 5",,False,,0,
001-76467,29458/04;29465/04,CASE OF SOKURENKO AND STRYGUN v. UKRAINE,Ukraine,ua,"6, 41, 29",2006,20/07/2006 00:00:00,Individual,True,1,0,6-1,,True,MrP. Lorenzen,8,MrP. Lorenzen|MrsS. Botoucharova|MrV. Butkevych|MrsM. Tsatsa-Nikolovska|MrR. Maruste|MrJ. Borrego Borrego|MrsR. Jaeger|Mrs C. Westerdiek
001-183373,16314/13,CASE OF NOVOTNÝ v. THE CZECH REPUBLIC,Czechia,cz,8,2018,07/06/2018 00:00:00,Individual,True,1,0,8,,False,Linos-Alexandre Sicilianos,8,Linos-Alexandre Sicilianos|Kristina Pardalos|Aleš Pejchal|Ksenija Turković|Armen Harutyunyan|Pauliine Koskelo|Tim Eicke|Abel Campos
001-205222,33139/13,CASE OF NAPOTNIK v. ROMANIA,Romania,ro,p12-1,2020,20/10/2020 00:00:00,Individual,False,0,1,,p12-1,False,Yonko Grozev,8,Yonko Grozev|Iulia Antoanella Motoc|Carlo Ranzoni|Stéphanie Mourou-Vikström|Georges Ravarani|Jolien Schukking|Péter Paczolay|Andrea Tamietti
001-154344,79925/12,CASE OF ALVES v. PORTUGAL,Portugal,pt,6,2015,30/04/2015 00:00:00,Individual,True,1,0,6,,False,Mirjana Lazarova Trajkovska,3,Mirjana Lazarova Trajkovska|Paulo Pinto de Albuquerque|Ksenija Turković
001-165757,24062/13,CASE OF MARC BRAUER v. GERMANY,Germany,de,6,2016,01/09/2016 00:00:00,Individual,True,1,0,6,,False,Ganna Yudkivska,8,Ganna Yudkivska|Angelika Nußberger|Khanlar Hajiyev|Erik Møse|André Potocki|Yonko Grozev|Carlo Ranzoni|Milan Blaško
001-59218,31382/96,CASE OF KURZAC v. POLAND,Poland,pl,"6, 41",2001,22/02/2001 00:00:00,Individual,True,1,0,6-1,,True,MrG. Ress,8,MrG. Ress|MrA. Pastor Ridruejo|MrJ. Makarczyk|MrV. Butkevych|MrsN. Vajić|MrJ. Hedigan|MrsS. Botoucharova|and Mr V. Berger
001-57608,7601/76;7806/77,"CASE OF YOUNG, JAMES AND WEBSTER v. THE UNITED KINGDOM",United Kingdom,gb,"9, 11, 13, 10, 1",1981,13/08/1981 00:00:00,Individual,True,1,1,11,13,True,Mr. G. WIARDA,1,Mr. G. WIARDA
001-79741,32668/02,CASE OF ULJAR AND OTHERS v. CROATIA,Croatia,hr,6,2007,08/03/2007 00:00:00,Multiple Applicants,True,1,0,6-1,,False,MrC.L. Rozakis,8,MrC.L. Rozakis|MrL. Loucaides|MrsN. Vajić|MrA. Kovler|MrsE. Steiner|MrS.E. Jebens|MrG. Malinverni|Mr S. Nielsen
001-164203,2326/11;8055/11;25355/11;30750/11,CASE OF MAMMADLI AND OTHERS v. AZERBAIJAN,Azerbaijan,az,"34, p1-3",2016,30/06/2016 00:00:00,Multiple Applicants,True,2,0,"p1-3, 34",,False,Faris Vehabović,4,Faris Vehabović|Khanlar Hajiyev|Carlo Ranzoni|Milan Blaško
001-110156,18475/05,CASE OF CHMURA v. POLAND,Poland,pl,6,2012,03/04/2012 00:00:00,Individual,False,0,1,,6,False,David Thór Björgvinsson,8,David Thór Björgvinsson|Lech Garlicki|Päivi Hirvelä|George Nicolaou|Ledi Bianku|Zdravka Kalaydjieva|Vincent A. De Gaetano|Lawrence Early
001-84367,39840/05,CASE OF PAWLAK v. POLAND,Poland,pl,"5, 8",2008,15/01/2008 00:00:00,Individual,True,1,1,8,5-3,False,Nicolas Bratza,8,Nicolas Bratza|Giovanni Bonello|Kristaq Traja|Lech Garlicki|Liljana Mijović|Jan Šikuta|Päivi Hirvelä|and Lawrence Early
001-58086,20022/92,CASE OF ANNE-MARIE ANDERSSON v. SWEDEN,Sweden,se,"6, 13",1997,27/08/1997 00:00:00,Individual,False,0,2,,"6-1, 13",False,MrR. Ryssdal,1,MrR. Ryssdal
001-76339,21430/04,CASE OF VASILYEVA v. RUSSIA,Russian Federation,ru,"6, p1-1, 29, 41",2006,13/07/2006 00:00:00,Individual,True,1,0,6-1,,True,MrP. Lorenzen,8,MrP. Lorenzen|MrK. Jungwiert|MrV. Butkevych|MrsM. Tsatsa-Nikolovska|MrA. Kovler|MrJ. Borrego Borrego|MrsR. Jaeger|Mrs C. Westerdiek
001-79608,65559/01,CASE OF NESTAK v. SLOVAKIA,Slovakia,sk,"35, 5, 29, 41, 6",2007,27/02/2007 00:00:00,Individual,True,1,0,6-1,,True,SirNicolas Bratza,8,SirNicolas Bratza|MrJ. Casadevall|MrS. Pavlovschi|MrL. Garlicki|MsL. Mijović|MrJ. Šikuta|MrsP. Hirvelä|Mr T.L. Early
001-147022,27307/04,"CASE OF GORESKI AND OTHERS v. ""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA""",North Macedonia,mk,6,2014,16/10/2014 00:00:00,Multiple Applicants,True,1,0,6,,False,Linos-Alexandre Sicilianos,3,Linos-Alexandre Sicilianos|Mirjana Lazarova Trajkovska|Ksenija Turković
001-128045,17092/04,CASE OF KOZLITIN v. RUSSIA,Russian Federation,ru,6,2013,14/11/2013 00:00:00,Individual,True,1,0,6-3-c,,False,Isabelle Berro-Lefèvre,8,Isabelle Berro-Lefèvre|Khanlar Hajiyev|Julia Laffranque|Linos-Alexandre Sicilianos|Erik Møse|Ksenija Turković|Dmitry Dedov|Søren Nielsen
001-164923,2171/14,CASE OF G.N. v. POLAND,Poland,pl,8,2016,19/07/2016 00:00:00,Individual,True,1,0,8,,False,András Sajó,8,András Sajó|Nona Tsotsoria|Paulo Pinto de Albuquerque|Krzysztof Wojtyczek|Egidijus Kūris|Iulia Motoc|Gabriele Kucsko-Stadlmayer|Andrea Tamietti
001-84756,28633/02,CASE OF POPLAWSKI v. POLAND,Poland,pl,"6, 5",2008,29/01/2008 00:00:00,Individual,True,2,0,"5-3, 6-1",,False,Nicolas Bratza,8,Nicolas Bratza|Josep Casadevall|Stanislav Pavlovschi|Lech Garlicki|Ljiljana Mijović|Ján Šikuta|Päivi Hirvelä|Lawrence Early
001-206516,16215/15,CASE OF TRETIAK v. UKRAINE,Ukraine,ua,3,2020,17/12/2020 00:00:00,Individual,True,1,0,3,,False,Arnfinn Bårdsen,4,Arnfinn Bårdsen|Ganna Yudkivska|Mattias Guyomar|Martina Keller
001-109567,32849/05;14347/07;20796/06;40760/07,CASE OF PAPAZOVA AND OTHERS v. UKRAINE,Ukraine,ua,6,2012,15/03/2012 00:00:00,Multiple Applicants,True,1,0,6,,False,Mark Villiger,4,Mark Villiger|Ganna Yudkivska|André Potocki|Stephen Phillips
001-174994,32344/13;43576/13;49516/13;65956/13;71139/13,CASE OF ALEKSANDRAVIČIUS AND OTHERS v. LITHUANIA,Lithuania,lt,3,2017,04/07/2017 00:00:00,Multiple Applicants,True,1,0,3,,False,Paulo Pinto de Albuquerque,4,Paulo Pinto de Albuquerque|Egidijus Kūris|Iulia Motoc|Andrea Tamietti
001-89038,34171/04,CASE OF GUBER v. RUSSIA,Russian Federation,ru,6,2008,23/10/2008 00:00:00,Individual,True,1,0,6,,False,Nina Vajić,8,Nina Vajić|Anatoly Kovler|Khanlar Hajiyev|Dean Spielmann|Sverre Erik Jebens|Giorgio Malinverni|George Nicolaou|André Wampach
001-154027,6899/12,"CASE OF MITRINOVSKI v. ""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA""",North Macedonia,mk,"6, 35, 41",2015,30/04/2015 00:00:00,Individual,True,1,0,6,,True,Isabelle Berro,8,Isabelle Berro|Elisabeth Steiner|Khanlar Hajiyev|Linos-Alexandre Sicilianos|Erik Møse|Ksenija Turković|Dmitry Dedov|Søren Nielsen
001-95297,45388/99,CASE OF KALLIS AND ANDROULLA PANAYI v. TURKEY,Turkey,tr,2,2009,27/10/2009 00:00:00,Individual,True,1,0,2,,False,Nicolas Bratza,8,Nicolas Bratza|Lech Garlicki|Giovanni Bonello|Ljiljana Mijović|David Thór Björgvinsson|Işıl Karakaş|Mihai Poalelungi|Fatoş Aracı
001-116412,50218/08,CASE OF LÁSZLÓ KÁROLY v. HUNGARY (No. 2),Hungary,hu,3,2013,12/02/2013 00:00:00,Individual,True,1,0,3,,False,Guido Raimondi,8,Guido Raimondi|Danutė Jočienė|Dragoljub Popović|András Sajó|Işıl Karakaş|Paulo Pinto de Albuquerque|Helen Keller|Stanley Naismith
001-90348,1758/02,CASE OF KAZAKOV v. RUSSIA,Russian Federation,ru,"29, 10",2008,18/12/2008 00:00:00,Individual,True,1,0,10,,True,Christos Rozakis,8,Christos Rozakis|Nina Vajić|Anatoly Kovler|Elisabeth Steiner|Khanlar Hajiyev|Giorgio Malinverni|George Nicolaou|Søren Nielsen
001-193070,549/17,CASE OF URBONAVIČIUS v. LITHUANIA,Lithuania,lt,3,2019,21/05/2019 00:00:00,Individual,True,1,0,3,,False,Paulo Pinto de Albuquerque,4,Paulo Pinto de Albuquerque|Egidijus Kūris|Iulia Antoanella Motoc|Andrea Tamietti
001-172470,318/15,CASE OF ŽIVKOVIĆ v. SERBIA,Serbia,rs,"6, p1-1",2017,04/04/2017 00:00:00,Individual,True,2,0,"6, p1-1",,False,Luis López Guerra,4,Luis López Guerra|Dmitry Dedov|Branko Lubarda|Fatoş Aracı
001-141950,58428/10,CASE OF MATYTSINA v. RUSSIA,Russian Federation,ru,"6, 41",2014,27/03/2014 00:00:00,Individual,True,1,1,6,6,True,Isabelle Berro-Lefèvre,8,Isabelle Berro-Lefèvre|Julia Laffranque|Paulo Pinto de Albuquerque|Linos-Alexandre Sicilianos|Erik Møse|Ksenija Turković|Dmitry Dedov|André Wampach
001-71677,27347/02,CASE OF KUCHERENKO v. UKRAINE,Ukraine,ua,"2, 6, 13, 41, p1-1, 29",2005,15/12/2005 00:00:00,Individual,True,2,0,"6-1, 13",,True,MrB.M. Zupančič,8,MrB.M. Zupančič|MrJ. Hedigan|MrC. Bîrsan|MrV. Butkevych|MrsR. Jaeger|MrE. Myjer|MrDavid Thór Björgvinsson|Mr V. Berger
001-75593,24661/02,CASE OF BUJ v. CROATIA,Croatia,hr,"35, 6, 41, 13",2006,01/06/2006 00:00:00,Individual,True,1,0,6-1,,True, MrC.L. Rozakis,7, MrC.L. Rozakis|MrL. Loucaides|MrsF. Tulkens|MrsN. Vajić|MrsE. Steiner|MrK. Hajiyev|Mr S. Nielsen
001-206361,9209/11;23736/17;33054/17;37006/17;38207/17;62452/17;65217/17;69128/17;24901/18,CASE OF MALYSHEV AND OTHERS v. RUSSIA,Russian Federation,ru,"13, 3, 5",2020,10/12/2020 00:00:00,Multiple Applicants,True,4,0,"5, 3, 3, 13",,False,Darian Pavli,4,Darian Pavli|Dmitry Dedov|Peeter Roosma|Liv Tigerstedt
001-68224,68416/01,CASE OF STEEL AND MORRIS v. THE UNITED KINGDOM,United Kingdom,gb,"6, 41, 10",2005,15/02/2005 00:00:00,Individual,True,2,0,"6-1, 10",,True,MrM. Pellonpää,8,MrM. Pellonpää|SirNicolas Bratza|MrsV. Strážnická|MrJ. Casadevall|MrR. Maruste|MrS. Pavlovschi|MrL. Garlicki|Mr M. O'Boyle
001-72980,76439/01,CASE OF PEČNIK v. SLOVENIA,Slovenia,si,"6, 41, 13, 29",2006,30/03/2006 00:00:00,Individual,True,2,0,"6-1, 13",,True,MrJ. Hedigan,8,MrJ. Hedigan|MrB.M. Zupančič|MrL. Caflisch|MrsM. Tsatsa-Nikolovska|MrE. Myjer|MrDavid Thór Björgvinsson|MrsI. Ziemele|Mr V. Berger
001-184269,41299/09;11132/10,CASE OF BOYADZHIEVA AND GLORIA INTERNATIONAL LIMITED EOOD v. BULGARIA,Bulgaria,bg,p1-1,2018,05/07/2018 00:00:00,Individual,True,1,0,p1-1,,False,Angelika Nußberger,8,Angelika Nußberger|André Potocki|Yonko Grozev|Mārtiņš Mits|Gabriele Kucsko-Stadlmayer|Lәtif Hüseynov|Lado Chanturia|Claudia Westerdiek
001-89277,22695/03,CASE OF DEMSKI v. POLAND,Poland,pl,6,2008,04/11/2008 00:00:00,Individual,True,1,0,6,,False,Nicolas Bratza,8,Nicolas Bratza|Lech Garlicki|Giovanni Bonello|Ljiljana Mijović|David Thór Björgvinsson|Ledi Bianku|Mihai Poalelungi|Lawrence Early
001-205797,47283/14,CASE OF KORNILOVA v. UKRAINE,Ukraine,ua,"3, 14",2020,12/11/2020 00:00:00,Individual,True,2,1,"3, 14",3,False,Stéphanie Mourou-Vikström,4,Stéphanie Mourou-Vikström|Ganna Yudkivska|Lado Chanturia|Anne-Marie Dougin
001-71119,24657/03,CASE OF GERASIMENKO v. RUSSIA,Russian Federation,ru,"6, 13, 41, p1-1, 29",2005,17/11/2005 00:00:00,Individual,True,1,0,6-1,,True,MrC.L. Rozakis,8,MrC.L. Rozakis|MrsS. Botoucharova|MrA. Kovler|MrsE. Steiner|MrK. Hajiyev|MrD. Spielmann|MrS.E. Jebens|Mr S. Quesada
001-61886,48787/99,CASE OF ILAŞCU AND OTHERS v. MOLDOVA AND RUSSIA,"Moldova, Republic of",md,"2, 35, 5, 34, 41, p1-1, 3, 1, 46",2004,08/07/2004 00:00:00,Multiple Applicants,True,3,2,"3, 5, 34","3, 5",True,MrL. Wildhaber,18,MrL. Wildhaber|MrC.L. Rozakis|MrJ.-P. Costa|MrG. Ress|SirNicolas Bratza|MrL. Loucaides|MrI. Cabral Barreto|MrsF. Tulkens|MrC. Bîrsan|MrJ. Casadevall|MrB. Zupančič|MrJ. Hedigan|MrsW. Thomassen|MrT. Panţîru|MrE. Levits|MrA. Kovler|MrsE. Fura-Sandström|Mr P.J. Mahoney
001-138585,27804/10,CASE OF BULEA v. ROMANIA,Romania,ro,"p4-2, 3, 35, 41",2013,03/12/2013 00:00:00,Individual,True,1,0,3,,True,Josep Casadevall,8,Josep Casadevall|Alvina Gyulumyan|Corneliu Bîrsan|Ján Šikuta|Luis López Guerra|Nona Tsotsoria|Kristina Pardalos|Marialena Tsirli
001-94293,7025/04,CASE OF PISHCHALNIKOV v. RUSSIA,Russian Federation,ru,"6, 41",2009,24/09/2009 00:00:00,Individual,True,3,0,"6-1, 6-3-c, 6-1",,True,Christos Rozakis,8,Christos Rozakis|Nina Vajić|Anatoly Kovler|Elisabeth Steiner|Khanlar Hajiyev|Dean Spielmann|Sverre Erik Jebens|Søren Nielsen
001-198804,44896/11,CASE OF CIOBANU v. THE REPUBLIC OF MOLDOVA,"Moldova, Republic of",md,6,2019,03/12/2019 00:00:00,Individual,True,1,0,6,,False,Egidijus Kūris,4,Egidijus Kūris|Valeriu Griţco|Darian Pavli|Hasan Bakırcı
001-191363,48770/15,CASE OF KOVÁTS v. HUNGARY,Hungary,hu,6,2019,07/03/2019 00:00:00,Individual,True,1,0,6,,False,Georges Ravarani,4,Georges Ravarani|Marko Bošnjak|Péter Paczolay|Liv Tigerstedt Acting Deputy Section Registrar
001-107198,19001/05,CASE OF RJ IMPORT ROGER JAEGER A.G. AND RJ IMPORT BUCURESTI S.A. v. ROMANIA,Romania,ro,6,2011,03/11/2011 00:00:00,Individual,True,1,0,6-1,,False,Ján Šikuta,4,Ján Šikuta|Ineta Ziemele|Kristina Pardalos|Marialena Tsirli
